,ApplicationId,SubprojectId,FiscalYear,OrganisationName,OrganisationCity,OrganisationState,DepartmentType,ProjectNumber,ProjectSerialNumber,OrganisationCountry,ActivityCode,AwardAmount,IsActive,ProgramOfficers,AgencyICFundig,ProjectStartDate,ProjectEndDate,FundingOpportunityAnnouncements,AbstractText,ProjectTitle,PHRText,ProjectInvestigatorsName,ProjectInvestigatorsId
10,6746886,,2004,UNIVERSITY OF GEORGIA (UGA),ATHENS,GA,GENETICS,5T32GM007103-30,GM007103,UNITED STATES,T32,331448,False,Marcus M. Rhoades,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,,GRADUATE TRAINING IN GENETICS,,Michael T. Bender,1887620
11,6746880,,2004,DUKE UNIVERSITY,DURHAM,NC,INTERNAL MEDICINE/MEDICINE,5T32HL007057-29,HL007057,UNITED STATES,T32,298777,False,Traci  Mondoro,National Heart Lung and Blood Institute,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,"DESCRIPTION (Applicant's Abstract) The purpose of the Training Program in Transfusion Medicine and Related Areas is to provide research training in transfusion medicine and the scientific disciplines related to it in order to develop academically oriented physician-scientists and nonphysician scientists with expertise in the performance of both basic and clinical research.  Upon completion of this program, each trainee will be qualified to assume a medical school faculty position and conduct an independent program of clinical or laboratory investigation in one of the fields of study included in this program, including transfusion medicine, immunohematology, and immunology (Track I); hemoglobin, hematopoiesis and cellular therapy (Track II); hemostasis and thrombosis (Track III); and molecular biology, molecular signaling, and DNA repair (Track IV).  In each of these tracks, exposure to the clinical aspects of the area selected (comprising less than 20 percent of the total trainee time during the tenure of this fellowship) will be provided to permit the trainee to understand the clinical context in which the research which he or she is to undertake is placed.  The reminder of the time (at least 80 percent) will be spend in a defined tutorial research program with a preceptor in one of the laboratories or clinical investigation areas described in this grant proposal.  The trainees in all tracks will also take part in inter- and intradepartmental seminars and conferences, and will be expected to report orally and in writing on the research being performed.  The trainee will be able to take whatever course work at Duke University is necessary for the satisfactory completion of his or her work.  Trainees in areas of clinical investigation will be encouraged to pursue either a masters in public health degree (at the University of North Carolina at Chapel Hill) or a masters in health sciences in clinical research degree granted by the Duke University Clinical Research Training Program (formerly the Biometry Training Program); at a minimum, they will be expected to complete an introductory course in statistics.  The training program funded by this award will be offered to qualified persons holding either the M.D. or Ph.D. degree with interests in research training in transfusion medicine and related areas.  Persons from minority groups and women will be encouraged to enter the program.  No predoctoral or primarily clinical competence training will be funded by this grant.  The facilities for research training will be based at the various. research laboratories and clinics of Duke University and the allied Veterans' Administration Medical Centers in Durham., North Carolina.  Fulfillment of the training goals of this program will meet present and future needs for scientists and physician-scientists who can conduct high caliber research in both basic and clinical sciences related to transfusion medicine and who can apply the rapidly growing knowledge in this field to the care of patients with hematopoietic and other disorders requiring blood product and stem cell therapy. ",Transfusion Medicine and Related Areas,,Marilyn J Telen,1885877
12,6764167,,2004,UNIVERSITY OF CALIFORNIA SAN DIEGO,LA JOLLA,CA,BIOLOGY,5T32GM007240-28,GM007240,UNITED STATES,T32,1117276,False,MARION M. ZATZ,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2005-06-30T04:00:00Z,,"DESCRIPTION (provided by applicant): The Cell, Molecular, and Genetics (CMG)
Training Program at the University of California, San Diego is currently in its
25th year. This program is the foundation of the Ph.D. training effort in the
biological sciences at UCSD, as it supports the very best graduate students
from the Biology-Salk and Chemistry-Biochemistry Ph.D. programs. The mission of
the CMG Training Program is to provide rigorous basic research training in cell
biology, molecular biology, and genetics to outstanding young biomedical
researchers in the earlier years of their doctoral studies. Specific emphasis
is placed upon the creativity, quality, and impact of the research, the ethical
conduct of research, the achievement of racial diversity among biomedical
researchers, the ability of the trainees to communicate their results
effectively, and the promotion of cooperation and collaboration among
scientists.  While the new director has already made an impressive
impact and demonstrates significant potential for leading this program to a
greater level of accomplishment, more time is needed to correct the weaknesses
mentioned above. Thus, funding for three years at the current slot level is
recommended to provide for a timelier reassessment of progress.
The CMG Program Director is Dr. Jim Kadonaga. He has been a member of the
Biology Department/Division at UCSD since 1988, and is currently Professor and
Vice Chair of the Molecular Biology Section. Dr. Kadonaga works with an
Advisory Committee for the CMG Training Program that consists of Drs. Lorraine
Pillus, Steve Wasserman, Bart Sefton, Elizabeth Komives, and Bill McGinnis.
There are currently 98 training faculty from the UCSD Division of Biology, Salk
Institute, UCSD Department of Chemistry and Biochemistry, and Department of
Cellular and Molecular Medicine at the UCSD Medical School. The CMG Training
Program provides support for 45 outstanding Ph.D. students that are selected
from a five-fold larger pool of eligible students (currently, 224 eligible
students). The trainees fulfill the general requirements of their respective
graduate programs and additionally participate in CMG-specific training
activities, which include biannual CMG Training Program Symposia, annual
One-on-One Conferences with the Program Director, and CMG Career Development
Workshops. Over the past 10 years, 124 CMG trainees have successfully completed
their Ph.D. thesis. Past and present CMG trainees have contributed an enormous
wealth of fascinating and important knowledge to the biological sciences
through a total of 411 publications (not including abstracts). With the
projected growth of biology at UCSD, we envision the implementation of an even
stronger CMG Training Program over the next five years.","Cell, Molecular and Genetics Training Program",,Randolph Y. Hampton,1924909
13,6735605,,2004,MAYO CLINIC,ROCHESTER,MN,,5T32DK007013-27,DK007013,UNITED STATES,T32,189776,False,TRACY L RANKIN,National Institute of Diabetes and Digestive and Kidney Diseases,1975-07-01T04:00:00Z,2007-11-30T05:00:00Z,,,Kidney Disease Research Training Program,,Vicente E Torres,1877235
14,6731098,,2004,DUKE UNIVERSITY,DURHAM,NC,INTERNAL MEDICINE/MEDICINE,5T32HL007101-29,HL007101,UNITED STATES,T32,231608,False,Beth  Schucker,National Heart Lung and Blood Institute,1975-07-01T04:00:00Z,2006-03-31T05:00:00Z,,"DESCRIPTION (Applicant's Abstract) Duke University Medical Center has been engaged in the training of clinicians and scientists in the area of cardiovascular diseases -for over 40 years. Much of this success can be attributed to 25 years of funding of the Cardiovascular Training Program Grant.  This application is a competitive renewal for our Cardiovascular Training Program Grant, which was last funded in 1996.  The cardiovascular training program represents the integrated efforts of the Departments of Medicine, Surgery, Cell Biology, Pediatrics, Pharmacology, Engineering, and Genetics to train postdoctoral cardiovascular physician-scientists.  This will be accomplished by providing a multidisciplinary faculty and environment to trainees in order to foster and develop excellence in biomedical research related to the cardiovascular system.  The underlying philosophy of this program will be to integrate training and research by creating an environment that facilitates the natural linkages among programs and departments throughout the University.  An extended period of research (2 years or more) will be provided to trainees under the mentorship of program faculty who will closely supervise and direct the academic career development of the trainee.  This program will provide an important mechanism for supporting trainees during a critical period of postgraduate medical training and provide an environment conducive to a research-oriented career.  During this time, trainees will be ""protected"" from clinical responsibilities and immersed in research to obtain the background and experience necessary to establish themselves an independent investigators in academic institutions.  The individual mentor will provide skills such as experimental design, data analysis, and manuscript and grant preparation during the training period. The goal of this program is to continue this history of productivity by creating an environment that will ensure that Duke will continue to contribute to the development of young investigators capable of pursuing successful research careers in cardiovascular fields.  The current application will describe the modifications and improvements that have been recently implemented and will discuss Duke""s ongoing commitment to train the next generation of cardiovascular researchers.  The training program emphasizes the training of physician-scientists, and to this end, approximately 90% of the trainees will be MDs or MD/PhDs. ",Multidisciplinary Heart and Vascular Diseases,,Howard A Rockman,1882946
15,6740187,,2004,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,MICROBIOLOGY/IMMUN/VIROLOGY,5T32CA009140-30,CA009140,UNITED STATES,T32,624495,False,LESTER S. GORELIC,National Cancer Institute,1975-07-01T04:00:00Z,2005-04-30T04:00:00Z,,,IMMUNOBIOLOGY OF NORMAL AND NEOPLASTIC LYMPHOCYTES,,YVONNE J PATERSON,1877881
16,6945902,,2005,JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,PEDIATRICS,5T32AI007007-27,AI007007,UNITED STATES,T32,116133,False,Lawrence J. Prograis,National Institute of Allergy and Infectious Diseases,1975-07-01T04:00:00Z,2009-08-31T04:00:00Z,,"DESCRIPTION (provided by applicant): This training program has been designed to create a critical mass of faculty who can train Pediatricians to address the problems of allergic and immunologic diseases in children both in the laboratory and in the clinical setting.  The program is based in the Division of Allergy and Immunology in the Department of Pediatrics. The Division is located in the Children's Center of The Johns Hopkins Hospital.  All of the laboratories and offices are contiguous and consist of 7 separate, fully equipped laboratories, 6 faculty offices, 2 secretaries' offices, a Fellows' office, and a library/conference room.  The division is uniquely suited to offer fellowship training in that it is composed of 5 full-time and one 1/2 time investigators with balanced interests; 3 are primarily interested in allergy and 3 are primarily interested in immunology.  In addition, it utilizes the faculty and facilities of other divisions within the University's immunology community, such the Graduate Program in Immunology, the Division of Rheumatology and the Division of Clinical Immunology in the Department of Medicine.  
The program provides 3 years of balanced training in basic and clinical immunology to Pediatricians who will pursue an academic career.  Candidates will have completed a 2-4 year residency in Pediatrics.  They will be selected primarily based upon their commitment to an academic career and their interest in research in the allergic and immunologic diseases of children. Each trainee spends the majority of his/her time in laboratory research (80%), supplemented with course work and limited clinical responsibilities.  A single faculty member acts as the preceptor for a given fellow, supervising his/her laboratory work, helping to select formal course work, and designing a program of clinical activities. The laboratory work focuses on one of the areas in which the faculty is actively involved and includes immunology and Epidemiology of Childhood Asthma (Drs. Eggleston, Wood, Matsui, Lederman, Bochner and Adkinson), the role of immune system in host defense and inflammation (Drs. Lederman, Bochner, Rosen, Sule and Desiderio) and the Primary Immunodeficiency Diseases, (Drs. Lederman, Winkelstein, Sule, Rosen and Desiderio).  Course work includes both a core curriculum designed to give the fellow a strong foundation in basic immunology and elective courses aimed at meeting the special needs of the fellow.  Clinical training focuses on Allergy and Immunology but also includes limited experience in Rheumatology, Pulmonology, and ENT, and is in accord with that specified by the Board of Allergy and Clinical Immunology.",Research Training in Pediatric Allergy and Immunology,,ROBERT A WOOD,6785863
17,7059509,,2005,UNIVERSITY OF WISCONSIN MADISON,MADISON,WI,MISCELLANEOUS,3T32HD007014-30S1,HD007014,UNITED STATES,T32,311693,False,Rebecca L Clark,Eunice Kennedy Shriver National Institute of Child Health and Human Development,1975-07-01T04:00:00Z,2006-04-30T04:00:00Z,,,DEMOGRAPHY AND ECOLOGY,,ALBERTO B. PALLONI,1903062
18,6778215,,2004,UNIVERSITY OF MINNESOTA TWIN CITIES,MINNEAPOLIS,MN,PEDIATRICS,5T32DK007087-31,DK007087,UNITED STATES,T32,125607,False,TRACY L RANKIN,National Institute of Diabetes and Digestive and Kidney Diseases,1975-07-01T04:00:00Z,2005-06-30T04:00:00Z,,,PREFACULTY TRAINING IN PEDIATRIC NEPHROLOGY,,S. Michael Mauer,2295322
19,6896797,,2005,DUKE UNIVERSITY,DURHAM,NC,INTERNAL MEDICINE/MEDICINE,5T32HL007057-30,HL007057,UNITED STATES,T32,238799,False,Traci  Mondoro,National Heart Lung and Blood Institute,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,"DESCRIPTION (Applicant's Abstract) The purpose of the Training Program in Transfusion Medicine and Related Areas is to provide research training in transfusion medicine and the scientific disciplines related to it in order to develop academically oriented physician-scientists and nonphysician scientists with expertise in the performance of both basic and clinical research.  Upon completion of this program, each trainee will be qualified to assume a medical school faculty position and conduct an independent program of clinical or laboratory investigation in one of the fields of study included in this program, including transfusion medicine, immunohematology, and immunology (Track I); hemoglobin, hematopoiesis and cellular therapy (Track II); hemostasis and thrombosis (Track III); and molecular biology, molecular signaling, and DNA repair (Track IV).  In each of these tracks, exposure to the clinical aspects of the area selected (comprising less than 20 percent of the total trainee time during the tenure of this fellowship) will be provided to permit the trainee to understand the clinical context in which the research which he or she is to undertake is placed.  The reminder of the time (at least 80 percent) will be spend in a defined tutorial research program with a preceptor in one of the laboratories or clinical investigation areas described in this grant proposal.  The trainees in all tracks will also take part in inter- and intradepartmental seminars and conferences, and will be expected to report orally and in writing on the research being performed.  The trainee will be able to take whatever course work at Duke University is necessary for the satisfactory completion of his or her work.  Trainees in areas of clinical investigation will be encouraged to pursue either a masters in public health degree (at the University of North Carolina at Chapel Hill) or a masters in health sciences in clinical research degree granted by the Duke University Clinical Research Training Program (formerly the Biometry Training Program); at a minimum, they will be expected to complete an introductory course in statistics.  The training program funded by this award will be offered to qualified persons holding either the M.D. or Ph.D. degree with interests in research training in transfusion medicine and related areas.  Persons from minority groups and women will be encouraged to enter the program.  No predoctoral or primarily clinical competence training will be funded by this grant.  The facilities for research training will be based at the various. research laboratories and clinics of Duke University and the allied Veterans' Administration Medical Centers in Durham., North Carolina.  Fulfillment of the training goals of this program will meet present and future needs for scientists and physician-scientists who can conduct high caliber research in both basic and clinical sciences related to transfusion medicine and who can apply the rapidly growing knowledge in this field to the care of patients with hematopoietic and other disorders requiring blood product and stem cell therapy. ",TRANSFUSION MEDICINE AND RELATED AREAS,,Marilyn J Telen,1885877
20,6906544,,2005,UNIVERSITY OF WISCONSIN MADISON,MADISON,WI,BIOCHEMISTRY,5T32GM007215-30,GM007215,UNITED STATES,T32,1335444,False,MARION M. ZATZ,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,,GRADUATE TRAINING IN MOLECULAR BIOSCIENCES,,DAVID A BROW,1927890
21,6898279,,2005,HARVARD UNIVERSITY (MEDICAL SCHOOL),BOSTON,MA,MICROBIOLOGY/IMMUN/VIROLOGY,5T32GM007196-31,GM007196,UNITED STATES,T32,349148,False,Marcus M. Rhoades,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2007-06-30T04:00:00Z,,"DESCRIPTION (provided by applicant):  This training grant will support 17 graduate students usually for their first two years.  The goal of this program is to give the students the widest possible education in genetics and provide opportunities to work in many of the major areas of genetics research, including plant, microbial, yeast, Drosophila, C. elegans, Zebrafish, human genetics, genomics and bioinformatics and other areas.  The Training Grant sponsors regular genetics research presentations by more senior graduate students and three student-invited outside genetics seminar speakers.  Students are selected for the grant before matriculating on the basis of their interests and their agreement to take an introductory and an advanced genetic course.  Their progress is followed by faculty advisors who are members of the Training Grant and by the Director this Grant.  These students will be part of the Biological and Biomedical Sciences program which includes the following components: 1) Advising throughout their graduate career by a faculty member of the Training Grant; 2) a set of four core courses in genetics and other core subjects, a critical reading course, and advanced courses.  The total required number of courses is 8; 3) a regular fall poster session, regular faculty talks, student-organized fall retreat, Mini-Symposia on specialized topics and Departmental activities all of which introduce students to the range of lab research subjects available; 4) a program and course in Conduct of Science and a seminar speaker on social issues in genetics; 5) laboratory rotations during the first 12 months allowing students to try out three labs; 6) forums on careers in academic science and in alternative careers; 7) a qualifying examination and a thesis advisory committee to follow the progress of the student; 8) regular seminars on genetic subjects in Medical School basic science Departments.",Regul. of Gene Expression in Prokaryotes and Eukaryotes,,FRED M. WINSTON,1863326
22,6911728,,2005,UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,CA,BIOCHEMISTRY,5T32GM007185-31,GM007185,UNITED STATES,T32,1015072,False,MARION M. ZATZ,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,"                                                                                    
 DESCRIPTION: (provided by applicant) This proposal seeks renewal for UCLA's        
 predoctoral Cellular and Molecular Biology Training Program. Now in its 26th       
 year, the program has trained more than 350 Ph.D. candidates for careers in        
 biomedical research and education. The program is interdepartmental and            
 includes faculty and students in the Departments of Chemistry and Biochemistry     
 and Molecular, Cell and Developmental Biology in the College of Letters and        
 Sciences, the Departments of Biological Chemistry, Microbiology, Immunology and    
 Molecular Genetics, and Neurobiology in the School of Medicine, as well as the     
 Interdepartmental Program in Molecular Biology. There are currently 84 training    
 faculty with primary appointments in 10 departments. Major research areas          
 include biochemistry, cell biology, developmental biology, gene expression,        
 macromolecular structure, molecular and cellular immunology, neurobiology,         
 virology and microbial pathology.                                                  
                                                                                    
 Representatives of each of the six major Ph.D. degree programs involved            
 nominate trainees for the program. Students are selected on a highly               
 competitive basis using the criteria of their academic and research                
 achievements. Appointments are made for a maximum period of three years. A         
 small number of students enter the training program as first year students;        
 however, the bulk of them come in after a year of graduate work when they have     
 chosen their dissertation research director. In addition to meeting the            
 University and Departmental or Program requirements for their degrees, trainees    
 participate in a research ethics course, as well as in seminars and conferences    
 organized by the Training Program. This proposal requests stipends for 45          
 trainees.                                                                          
                                                                                    
 The facilities are those of a major undergraduate and graduate campus of           
 approximately 33,000 students that includes a medical school faculty. All of       
 the departments involved in this program are in close proximity to each other      
 and to the interdepartmental Molecular Biology Institute, which facilitates        
 interactions of both students and faculty.                                         
                                                                                    
",RESEARCH TRAINING IN CELLULAR AND MOLECULAR BIOLOGY,,STEVEN G CLARKE,1863373
23,6894072,,2005,WASHINGTON UNIVERSITY,SAINT LOUIS,MO,ANATOMY/CELL BIOLOGY,5T32GM007067-31,GM007067,UNITED STATES,T32,966443,False,MARION M. ZATZ,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,,TRAINING PROGRAM IN CELLULAR AND MOLECULAR BIOLOGY,,DAVID A HARRIS,1893159
24,6893953,,2005,JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,BIOMEDICAL ENGINEERING,2T32GM007057-31,GM007057,UNITED STATES,T32,495217,False,Alison E. Cole,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2010-06-30T04:00:00Z,,"  
DESCRIPTION (provided by applicant): The Biomedical Engineering Doctoral training program at the Johns Hopkins University aims to train talented students from engineering and other quantitative sciences for careers in biological and medical research. The program is interdisciplinary and interdepartmental in nature. Program faculty are drawn from a wide range of departments. This includes but is not limited to the departments of Biomedical Engineering, Neuroscience, Otolaryngology-Head and Neck Surgery, and Radiology in the School of Medicine, and the departments of Applied Mathematics and Statistics, Chemical and Biomolecular Engineering, Electrical and Computer Engineering, Material Science and Engineering and Mechanical Engineering in the Whiting School of Engineering. The faculty are engineers, applied mathematicians, neuroscientists, physiologists, cell biologists, and molecular biologists with both experimental and theoretical/computational research programs. A unique aspect of the program is that students are free to do research in any laboratory of the University, subject to program approval. Support is requested for 12 pre-doctoral trainees. The usual duration of the program is 5-6 years. Students are drawn mainly from engineering schools, although they also come from mathematics, physics, chemistry, and biology. Program coursework includes graduate level courses in life sciences plus advanced courses in engineering, mathematics, and biology. The core of the program is research training in the research laboratories of the Program faculty.      

",Biomedical Engineering Training Program,,RAIMOND Lester WINSLOW,1865780
25,6886797,,2005,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,CHAMPAIGN,IL,PSYCHOLOGY,5T32MH014257-31,MH014257,UNITED STATES,T32,256456,False,Debra K. Wynne,National Institute of Mental Health,1975-07-01T04:00:00Z,2008-06-30T04:00:00Z,PA00103,"DESCRIPTION (provided by applicant):  This program provides predoctoral (4 positions) and postdoctoral (3 positions) research training for psychologists specializing in research design, measurement, statistical methods, decision making, psychological scaling, and assessment of individual differences, with an emphasis on application of these methods in investigations of behavioral and mental disorders. During their careers these specialists (a) continue to train students in all areas of behavioral and social sciences by their research and teaching activities, and/or (b) act as principal investigators or consultants in research on basic processes, psychopathology, and related problems. Predoctoral trainees receive Ph.D. degrees in Psychology; some having joint majors in quantitative methods and substantive problem areas such as clinical, developmental, or cognitive psychology. Other trainees major in quantitative methods and receive M.S. degrees in Applied Statistics with specialization in psychological  assessment, behavioral statistics (more broadly defined), and modeling with the aim of developing new methods, or improving existing methods for investigating psychological phenomena of all kinds, including basic cognitive, affective, social, and psychophysiological processes. Course and seminars are designed to advance trainees' knowledge of quantitative statistics that enables them to manipulate research data in psychologically meaningful ways. Research projects include: adolescent coping and neighborhood violence, social networks of at risk adolescent girls, reactions towards Arab Ethnic groups following the terrorist attacks on America, emotional and attentional mechanisms of high anxiety-sensitive individuals using fMRI neuroimaging and emotional Stroop paradigm, and cognitive and affective processes in pathological gambling. Research on methodological problems includes; effects of feedback on calibration, meta-analytic treatment of research results, alternatives to exploratory factor analysis, and models for the description and analysis of social networks.",Quantitative Methods for Behavioral Research,,Michel  Regenwetter,8586997
